idx,Country,Population,CropArea
108,Panama,4314767,21741.0
109,Costa Rica,5094118,17860.0
110,El Salvador,6486205,11957.0
111,Haiti,11402528,17900.0
112,Cuba,11326616,64010.0
113,Cayman Islands,65722,27.0
114,Bahamas,393244,130.0
115,Belize,397628,1800.0
116,Cook Islands,17564,0.0
117,Fiji,896445,3116.0
118,Tonga,105695,350.0
119,Kiribati,119449,340.0
120,Wallis and Futuna,11239,0.0
121,Samoa,198414,494.1
122,American Samoa,55191,28.7
123,French Polynesia,280908,485.0
124,Vanuatu,307145,1870.0
125,New Caledonia,285498,1840.3
126,New Zealand,4822233,101540.0
127,Afghanistan,38928346,383130.0
128,Bahrain,1701575,81.0
129,Saudi Arabia,34813871,1736373.7
130,Iran,83992949,470276.667
131,Jordan,10203134,10290.0
132,Kuwait,4270571,1500.0
133,Lebanon,6825445,6773.0
134,United Arab Emirates,9890402,3898.0
135,Oman,5106626,14589.3
136,Pakistan,220892340,367230.0
137,Iraq,40222493,94390.0
138,Syria,17500658,139133.76
139,Qatar,2881053,740.0
140,Northern Mariana Islands,57559,5.4
141,Guam,168775,160.0
142,Marshall Islands,59190,70.0
143,Midway Islands,40,0.0
144,Micronesia,548914,50.0
145,Palau,18094,43.0
146,Taiwan,23816775,8550.0
147,Japan,126476461,46820.0
148,South Korea,51269185,16210.0
149,Philippines,109581078,126590.0
150,Argentina,45195774,1177577.597
151,Brazil,212559417,2387470.81
152,Chile,19116201,109641.63
153,Antarctica,4000,0.0
154,Ecuador,17643054,54200.0
155,Paraguay,7132538,168091.4
156,Colombia,50882891,440522.78
157,Bolivia,11673021,380076.741
158,Suriname,586632,800.0
159,French Guiana,298682,0.0
160,Peru,32971854,249969.9
161,Uruguay,3473730,140634.0
162,Venezuela,28435940,215000.0
163,Guyana,786552,10420.0
164,Antigua and Barbuda,97929,90.0
165,Barbados,287375,100.0
166,Dominica,71986,250.0
167,Martinique,375265,0.0
168,Guadeloupe,400124,0.0
169,Grenada,112523,80.0
170,Virgin Islands,104425,33.0
171,Puerto Rico,2860853,1689.0
172,Saint Kitts and Nevis,53199,0.0
173,Saint Lucia,183627,0.0
174,Aruba,106766,20.0
175,Netherlands Antilles,164093,0.0
176,Anguilla,15003,0.0
177,Trinidad and Tobago,1399488,540.0
178,British Virgin Islands,30231,70.0
179,Saint Vincent and the Grenadines,110940,70.0
180,Kazakhstan,18776707,2140032.0
181,Kyrgyzstan,6524195,103678.0
182,Azerbaijan,10139177,47801.0
183,Russia,145934462,2154940.0
184,Ukraine,43733762,413110.0
185,Belarus,9449323,82810.0
186,Turkmenistan,6031200,338380.0
187,Tajikistan,9537645,49160.0
188,Uzbekistan,33469203,256825.0
189,India,1380004385,1785277.59
190,Sri Lanka,21413249,28120.0
191,Cambodia,16718965,60453.877
192,Bangladesh,164689383,99280.0
193,Hong Kong,7496981,40.0
194,Laos,7275560,20310.0
195,Macau,649335,0.0
196,Nepal,29136808,41210.0
197,Bhutan,771608,5130.0
198,Maldives,540544,64.0
199,Thailand,69799978,232718.997
200,Vietnam,97338579,123600.0
201,Myanmar,54409800,129800.0
202,Indonesia,273523615,643000.0
203,Malaysia,32365999,85710.0
204,Brunei,437479,134.0
205,Timor,1318445,3414.0
206,Singapore,5850342,6.6
207,Australia,25499884,3557750.0
208,Christmas Island,1400,0.0
209,Norfolk Island,2170,0.0
210,China,1439323776,5206950.0
211,North Korea,25778816,25950.0
212,Mongolia,3278290,1126995.469
213,United States,331002651,4058103.538
214,Latvia,1886198,19690.0
215,Lithuania,2722289,29428.0
216,Armenia,2963243,16760.0
217,Eritrea,3546421,75920.0
218,Palestine,5101414,0.0
219,Georgia,3989167,23779.0
220,Yemen,29825964,234520.0
221,Bermuda,62278,3.0
222,Solomon Islands,686884,1200.0
223,Nauru,10824,4.0
224,Tuvalu,11792,18.0
225,Namibia,2540905,388110.0
226,Djibouti,988000,17039.0
227,Montserrat,4992,0.0
228,Johnston Atoll,10,0.0
229,Guinea-Bissau,1968001,8151.1
230,Western Sahara,597339,0.0
231,Niue,1626,0.0
232,Cocos (Keeling) Islands,600,0.0
233,Wake Island,150,0.0
